日付,始値,高値,安値,終値,前週比,前週比％,売買高(株)
12/07/13,"15,280","15,630","15,210","15,330",-460,-2.9,"3,539,500"
12/07/06,"16,000","16,140","15,400","15,790",-90,-0.6,"2,537,000"
12/06/29,"15,200","16,000","15,170","15,880",+530,+3.5,"2,766,400"
12/06/22,"15,800","15,830","15,180","15,350",-140,-0.9,"2,978,500"
12/06/15,"15,580","15,620","15,140","15,490",+240,+1.6,"3,712,400"
12/06/08,"17,370","17,650","15,210","15,250","-2,520",-14.2,"8,823,500"
12/06/01,"17,400","17,990","17,240","17,770",+550,+3.2,"3,482,400"
12/05/25,"16,940","17,270","16,580","17,220",+550,+3.3,"3,275,700"
12/05/18,"16,540","17,100","16,470","16,670",+220,+1.3,"3,705,600"
12/05/11,"16,730","17,230","16,410","16,450","-1,050",-6.0,"3,133,100"
12/05/02,"17,680","17,810","17,270","17,500",-430,-2.4,"1,052,700"
12/04/27,"18,460","18,480","17,580","17,930",-660,-3.6,"4,485,700"
12/04/20,"18,900","18,950","18,310","18,590",－,－,"2,990,200"
