日付,始値,高値,安値,終値,前週比,前週比％,売買高(株)
13/12/20,"1,805","1,834","1,760","1,827",+14,+0.8,"56,155,500"
13/12/13,"1,863","1,867","1,789","1,813",-25,-1.4,"50,716,600"
13/12/06,"1,881","1,928","1,808","1,838",-29,-1.6,"61,988,700"
13/11/29,"1,871","1,903","1,827","1,867",-8,-0.4,"46,923,900"
13/11/22,"1,859","1,900","1,838","1,875",+29,+1.6,"65,804,500"
13/11/15,"1,650","1,866","1,628","1,846",+197,+11.9,"91,292,200"
13/11/08,"1,650","1,705","1,623","1,649",-19,-1.1,"62,002,400"
13/11/01,"1,881","1,932","1,640","1,668",-183,-9.9,"129,412,500"
13/10/25,"1,921","1,945","1,850","1,851",-79,-4.1,"59,321,200"
13/10/18,"1,955","1,969","1,919","1,930",+11,+0.6,"33,947,100"
13/10/11,"2,007","2,019","1,866","1,919",-98,-4.9,"76,885,900"
13/10/04,"2,071","2,122","1,995","2,017",-89,-4.2,"47,541,500"
13/09/27,"2,106","2,116","2,044","2,106",-26,-1.2,"31,414,800"
13/09/20,"2,125","2,149","2,107","2,132",+36,+1.7,"32,855,700"
13/09/13,"2,144","2,160","2,076","2,096",+9,+0.4,"49,925,900"
13/09/06,"1,972","2,133","1,958","2,087",+115,+5.8,"47,957,300"
13/08/30,"1,983","2,065","1,950","1,972",+6,+0.3,"59,773,000"
13/08/23,"1,955","1,987","1,889","1,966",+3,+0.2,"47,078,300"
13/08/16,"1,943","2,000","1,926","1,963",+20,+1.0,"40,641,200"
13/08/09,"2,125","2,183","1,920","1,943",-180,-8.5,"86,964,900"
13/08/02,"2,100","2,189","2,004","2,123",-10,-0.5,"60,935,600"
13/07/26,"2,230","2,323","2,123","2,133",-55,-2.5,"77,485,200"
13/07/19,"2,196","2,229","2,162","2,188",+9,+0.4,"34,973,700"
13/07/12,"2,201","2,228","2,149","2,179",-16,-0.7,"45,622,400"
13/07/05,"2,099","2,198","2,090","2,195",+117,+5.6,"59,390,700"
13/06/28,"2,014","2,098","1,947","2,078",+76,+3.8,"78,406,600"
13/06/21,"1,901","2,063","1,877","2,002",+79,+4.1,"100,780,100"
13/06/14,"1,950","2,085","1,911","1,923",+69,+3.7,"129,993,500"
13/06/07,"2,011","2,021","1,810","1,854",-195,-9.5,"132,088,800"
13/05/31,"2,072","2,145","1,985","2,049",-99,-4.6,"126,494,800"
13/05/24,"2,096","2,413","2,045","2,148",+102,+5.0,"197,584,000"
13/05/17,"1,823","2,146","1,816","2,046",+259,+14.5,"156,802,800"
13/05/10,"1,697","1,828","1,685","1,787",+160,+9.8,"178,414,600"
13/05/02,"1,624","1,638","1,565","1,627",-4,-0.2,"57,870,100"
13/04/26,"1,655","1,710","1,606","1,631",+8,+0.5,"101,270,900"
13/04/19,"1,620","1,679","1,556","1,623",-36,-2.2,"108,332,000"
13/04/12,"1,628","1,699","1,615","1,659",+79,+5.0,"132,925,500"
13/04/05,"1,630","1,650","1,497","1,580",-62,-3.8,"158,786,200"
13/03/29,"1,694","1,729","1,587","1,642",-18,-1.1,"138,166,800"
13/03/22,"1,631","1,735","1,550","1,660",-8,-0.5,"196,981,000"
13/03/15,"1,485","1,690","1,476","1,668",+204,+13.9,"215,310,600"
13/03/08,"1,415","1,483","1,412","1,464",+74,+5.3,"137,753,800"
13/03/01,"1,330","1,403","1,283","1,390",+94,+7.3,"150,348,800"
13/02/22,"1,355","1,381","1,280","1,296",-17,-1.3,"155,989,400"
13/02/15,"1,407","1,427","1,265","1,313",-52,-3.8,"161,635,200"
13/02/08,"1,425","1,551","1,355","1,365",+10,+0.7,"371,804,600"
13/02/01,"1,349","1,419","1,319","1,355",+65,+5.0,"300,751,100"
13/01/25,"1,165","1,296","1,132","1,290",+141,+12.3,"343,179,000"
13/01/18,"1,000","1,152",968,"1,149",+166,+16.9,"180,764,600"
13/01/11,980,987,918,983,+15,+1.5,"91,503,000"
13/01/04,988,988,963,968,+10,+1.0,"18,095,400"
12/12/28,927,975,904,958,+52,+5.7,"58,394,700"
12/12/21,928,938,902,906,0,0.0,"92,293,100"
12/12/14,834,907,802,906,+79,+9.6,"104,456,000"
12/12/07,801,831,785,827,+26,+3.2,"65,730,900"
12/11/30,832,834,797,801,-33,-4.0,"53,542,100"
12/11/22,834,835,812,834,+15,+1.8,"51,800,700"
12/11/16,866,880,772,819,-60,-6.8,"121,568,200"
12/11/09,919,919,867,879,-55,-5.9,"52,007,500"
12/11/02,946,960,905,934,-12,-1.3,"59,149,700"
12/10/26,958,998,940,946,-37,-3.8,"38,120,800"
12/10/19,895,988,885,983,+75,+8.3,"45,691,900"
12/10/12,938,945,881,908,-40,-4.2,"39,224,400"
12/10/05,912,950,906,948,+29,+3.2,"43,111,000"
12/09/28,981,982,912,919,-77,-7.7,"45,618,700"
12/09/21,"1,029","1,059",988,996,+13,+1.3,"57,627,300"
12/09/14,909,993,898,983,+75,+8.3,"62,225,800"
12/09/07,883,908,849,908,+27,+3.1,"55,947,200"
12/08/31,930,938,881,881,-37,-4.0,"47,056,400"
12/08/24,953,963,913,918,-26,-2.8,"39,081,200"
12/08/17,960,980,885,944,-3,-0.3,"66,212,000"
12/08/10,910,974,880,947,+50,+5.6,"75,571,600"
12/08/03,962,990,877,897,-50,-5.3,"67,569,200"
12/07/27,940,947,863,947,-11,-1.1,"64,212,000"
12/07/20,995,997,954,958,-40,-4.0,"46,179,000"
12/07/13,"1,077","1,082",994,998,-97,-8.9,"54,010,700"
12/07/06,"1,142","1,151","1,084","1,095",-28,-2.5,"34,704,600"
12/06/29,"1,174","1,182","1,072","1,123",-40,-3.4,"46,154,500"
12/06/22,"1,074","1,165","1,058","1,163",+134,+13.0,"58,024,600"
12/06/15,"1,040","1,061","1,015","1,029",+14,+1.4,"46,533,400"
12/06/08,990,"1,092",990,"1,015",+2,+0.2,"63,930,400"
12/06/01,"1,057","1,075","1,008","1,013",-42,-4.0,"52,881,400"
12/05/25,"1,100","1,144","1,045","1,055",-45,-4.1,"60,240,300"
12/05/18,"1,137","1,179","1,093","1,100",-35,-3.1,"65,220,700"
12/05/11,"1,225","1,250","1,110","1,135",-135,-10.6,"64,196,000"
12/05/02,"1,296","1,297","1,260","1,270",-46,-3.5,"17,686,300"
12/04/27,"1,370","1,377","1,305","1,316",-47,-3.4,"44,079,000"
12/04/20,"1,414","1,462","1,359","1,363",－,－,"58,845,300"
